Type d'activité,Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Allure moyenne,Meilleure allure
Cyclisme,2023-01-31 13:09:42,8.1,301,21.683333333333334,148,168,22.4,42.9
Cyclisme,2023-01-31 11:37:49,8.37,277,21.3,144,163,23.6,41.1
Cyclisme,2023-01-18 15:48:53,26.73,682,63.8,137,154,25.1,42.1
Cyclisme,2023-01-11 11:48:23,26.93,743,62.666666666666664,140,160,25.8,46.3
Cyclisme,2023-01-05 14:54:38,21.93,574,49.983333333333334,137,152,26.3,41.3
Cyclisme,2022-12-07 15:52:47,21.95,594,47.21666666666667,144,159,27.9,42.5
Cyclisme,2022-12-02 15:13:24,21.46,552,46.93333333333333,141,156,27.4,41.1
Cyclisme,2022-11-30 15:55:00,13.06,409,29.633333333333333,152,176,26.4,40.4
Cyclisme,2022-11-29 15:21:18,21.46,585,45.483333333333334,145,168,28.3,39.5
Cyclisme,2022-11-24 09:43:40,25.54,756,55.2,154,174,27.8,42.2
Cyclisme,2022-11-02 10:26:31,25.55,762,53.833333333333336,156,186,28.5,44.2
Cyclisme,2022-10-28 13:15:12,7.99,264,19.2,149,169,25.0,47.4
Cyclisme,2022-10-28 11:27:34,9.11,278,22.866666666666667,140,155,23.9,41.2
Cyclisme,2022-10-26 16:34:29,15.66,500,38.3,147,172,24.5,44.7
Cyclisme,2022-10-26 14:41:34,15.71,464,38.733333333333334,139,175,24.3,43.9
Cyclisme,2022-10-21 13:17:42,8.21,257,18.916666666666668,149,173,26.0,46.7
Cyclisme,2022-10-21 11:30:36,8.32,241,21.233333333333334,134,148,23.5,41.5
Cyclisme,2022-10-19 12:26:58,5.75,157,13.416666666666666,135,160,25.7,33.3
Cyclisme,2022-10-19 10:54:02,6.05,161,12.65,142,167,28.7,38.0
Cyclisme,2022-10-18 13:11:11,8.25,278,20.916666666666668,148,177,23.7,45.9
Cyclisme,2022-10-18 11:29:19,8.35,255,19.5,144,164,25.7,42.0
Cyclisme,2022-10-16 15:06:01,48.64,1135,117.06666666666666,137,163,24.9,49.6
Cyclisme,2022-10-10 13:05:47,8.24,254,21.583333333333332,135,150,22.9,44.4
Cyclisme,2022-10-10 11:27:40,8.17,225,19.366666666666667,134,155,25.3,42.5
Cyclisme,2022-10-08 12:16:23,2.36,48,7.483333333333333,103,117,18.9,41.8
Cyclisme,2022-10-07 12:40:29,8.22,251,21.05,138,157,23.4,41.0
Cyclisme,2022-10-07 11:10:15,8.33,236,19.45,140,159,25.7,42.1
Cyclisme,2022-10-06 12:40:56,10.29,377,26.55,154,171,23.3,39.9
Cyclisme,2022-10-06 10:40:18,15.95,464,36.416666666666664,146,178,26.3,44.7
Cyclisme,2022-10-04 15:09:14,24.99,734,52.55,155,178,28.5,45.1
Cyclisme,2022-09-30 12:09:10,8.25,282,21.75,143,165,22.8,42.0
Cyclisme,2022-09-30 10:46:27,3.11,85,8.633333333333333,122,140,21.6,39.0
Cyclisme,2022-09-29 18:36:40,11.67,325,29.566666666666666,131,156,23.7,43.5
Cyclisme,2022-09-29 10:57:06,11.59,320,28.633333333333333,132,159,24.3,44.9
Cyclisme,2022-09-28 17:04:34,3.6,84,10.133333333333333,113,131,21.3,40.9
Cyclisme,2022-09-28 14:45:18,15.31,364,36.15,128,155,25.4,44.9
Cyclisme,2022-09-27 12:35:58,8.08,230,19.883333333333333,133,162,24.4,41.3
Cyclisme,2022-09-23 09:50:18,11.63,339,28.05,141,175,24.9,47.1
Cyclisme,2022-09-22 16:36:59,11.98,344,29.45,136,162,24.4,46.4
Cyclisme,2022-09-22 10:00:15,11.65,333,29.933333333333334,134,163,23.3,47.4
Cyclisme,2022-09-21 16:12:36,3.62,98,10.15,124,158,21.4,41.8
Cyclisme,2022-09-21 14:19:11,15.67,467,35.13333333333333,149,176,26.8,47.7
Cyclisme,2022-09-19 09:26:54,11.65,328,29.016666666666666,136,159,24.1,43.0
Cyclisme,2022-09-18 19:06:22,3.95,42,8.016666666666667,96,108,29.5,50.1
Cyclisme,2022-09-18 17:38:34,25.46,636,63.43333333333333,135,164,24.1,42.6
Cyclisme,2022-09-17 16:47:45,2.74,98,8.083333333333334,136,158,20.3,33.7
Cyclisme,2022-09-17 16:05:01,2.09,50,5.733333333333333,116,127,21.9,34.9
Cyclisme,2022-09-15 15:23:54,29.25,856,61.95,154,182,28.3,46.7
Cyclisme,2022-09-11 13:09:24,5.71,154,24.5,106,126,14.0,18.3
Cyclisme,2022-09-03 16:50:52,61.0,1580,143.15,152,176,25.6,56.0
Cyclisme,2022-08-27 17:33:20,55.18,1257,136.66666666666666,137,185,24.2,49.5
Cyclisme,2022-08-16 15:37:31,12.21,363,29.566666666666666,145,186,24.8,45.2
Cyclisme,2022-08-15 19:31:15,11.93,363,27.85,147,175,25.7,44.5
Cyclisme,2022-08-14 17:17:52,5.69,198,15.083333333333334,146,180,22.7,44.7
Cyclisme,2022-08-13 16:32:14,5.94,170,14.2,142,185,25.1,43.6
Cyclisme,2022-08-12 20:48:46,3.03,71,8.6,115,140,21.1,38.1
Cyclisme,2022-08-11 10:07:29,2.62,59,7.183333333333334,114,130,21.9,43.4
Cyclisme,2022-08-09 16:21:19,1.13,56,5.4,126,141,12.5,21.3
Cyclisme,2022-08-09 10:19:35,3.84,72,9.85,110,129,23.4,42.7
Cyclisme,2022-08-08 19:14:11,1.15,57,4.883333333333333,133,144,14.2,20.5
Cyclisme,2022-08-08 18:47:38,1.12,18,2.7666666666666666,104,122,24.3,35.5
Cyclisme,2022-08-08 16:17:24,1.12,43,4.95,115,131,13.5,25.0
Cyclisme,2022-08-08 15:51:25,1.09,23,2.95,111,119,22.2,31.2
Cyclisme,2022-08-08 09:48:45,2.58,52,7.116666666666666,110,153,21.7,43.7
Cyclisme,2022-08-07 15:31:05,16.74,384,49.416666666666664,120,159,20.3,42.3
Cyclisme,2022-08-07 12:18:47,3.13,75,9.4,113,127,20.0,34.1
Cyclisme,2022-08-02 15:38:58,3.36,111,11.066666666666666,124,165,18.3,41.2
Cyclisme,2022-07-27 11:31:58,15.18,659,51.733333333333334,147,169,17.6,45.2
Cyclisme,2022-07-27 09:26:41,15.33,522,45.61666666666667,137,169,20.2,40.8
Cyclisme,2022-07-24 10:56:38,3.98,150,25.366666666666667,102,122,9.4,25.0
Cyclisme,2022-07-23 11:20:36,15.2,536,59.25,129,157,15.4,39.5
Cyclisme,2022-07-23 09:22:48,15.16,518,47.55,134,166,19.1,37.4
Cyclisme,2022-07-03 12:17:18,8.1,141,36.36666666666667,87,124,13.4,21.1
Cyclisme,2022-07-03 11:15:38,2.97,86,14.283333333333333,101,128,12.5,17.3
Cyclisme,2022-04-21 16:06:25,9.09,431,28.316666666666666,165,187,19.3,41.2
Cyclisme,2022-04-19 16:42:00,40.09,941,132.56666666666666,122,155,18.1,39.7
Cyclisme,2022-04-09 18:48:13,6.07,196,31.466666666666665,106,132,11.6,33.1
Cyclisme,2022-02-16 12:08:37,15.11,404,50.06666666666667,121,156,18.1,36.5
Cyclisme,2022-02-16 10:13:43,3.37,105,11.4,120,148,17.7,30.6
Cyclisme,2022-02-15 15:26:08,11.54,379,35.18333333333333,135,174,19.7,40.3
Cyclisme,2022-01-14 13:37:20,15.14,558,52.95,134,167,17.2,37.7
Cyclisme,2022-01-14 11:20:43,14.96,341,45.46666666666667,116,160,19.7,36.4
Cyclisme,2022-01-11 13:37:58,15.11,331,48.96666666666667,112,133,18.5,41.2
Cyclisme,2022-01-11 11:24:17,15.11,298,46.06666666666667,109,142,19.7,38.5
Cyclisme,2022-01-05 17:30:38,15.0,507,54.833333333333336,128,176,16.4,37.5
Cyclisme,2022-01-05 15:07:20,15.2,381,45.016666666666666,122,160,20.3,37.6
Cyclisme,2021-12-17 13:32:25,15.14,337,52.03333333333333,106,139,17.5,38.4
Cyclisme,2021-12-17 11:12:19,15.07,318,45.36666666666667,103,130,19.9,39.4
Cyclisme,2021-12-14 13:27:42,15.08,374,51.81666666666667,115,137,17.5,37.1
Cyclisme,2021-12-14 11:12:28,15.21,325,51.2,109,151,17.8,37.1
Cyclisme,2021-12-12 10:35:31,17.64,394,59.25,111,143,17.9,38.7
Cyclisme,2021-12-07 13:13:09,15.13,375,52.65,114,138,17.2,33.9
Cyclisme,2021-12-07 11:37:21,3.52,134,11.0,138,164,19.2,33.2
